date,Total,DeepSeek,OpenAI,Anthropic,Google,Zhipu,Qwen,Minimax,Moonshot,Mistral,xAI,Tencent,Xiaomi,Meta,Nvidia,Other,Stepfun,OpenRouter,Poolside,Stealth,Inclusionai,Arcee,Cohere,Nex-agi,Tngtech,Upstage,Kwaipilot,Perplexity,Baai,Microsoft,Bytedance-seed,Sentence-transformers
2026-01-29,1299.9916,96.0474,176.7596,226.9649,290.4014,36.5695,31.1931,47.4355,89.2156,13.9545,141.4447,0.0000,8.0102,7.5476,0.0000,101.5646,0.0000,0.0000,0.0000,0.0000,0.0000,13.8828,0.0000,0.0000,19.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,1226.6649,99.8469,175.0826,201.4562,273.8148,34.1663,40.8036,31.8919,66.8050,14.7849,128.1217,0.0000,11.0930,3.6559,0.0000,99.6243,0.0000,0.0000,0.0000,0.0000,0.0000,27.1382,0.0000,0.0000,18.3795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-31,1039.9396,106.0669,126.2952,147.9056,238.0698,30.1363,31.3148,31.4246,80.8641,14.0737,97.1297,0.0000,6.1760,9.1053,0.0000,80.0261,0.0000,0.0000,0.0000,0.0000,0.0000,22.9406,0.0000,0.0000,18.4111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-01,1126.9641,116.2318,143.8513,154.7447,259.0627,32.3077,31.8443,39.8558,82.5461,12.1798,101.6246,0.0000,5.0193,15.1260,0.0000,81.8142,0.0000,0.0000,0.0000,0.0000,0.0000,29.5793,0.0000,0.0000,21.1767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-02,1273.7152,115.7429,148.8762,206.5861,309.6046,35.1807,23.4335,61.9168,71.2481,11.9554,107.4282,0.0000,6.3761,11.5651,0.0000,104.1317,5.9386,0.0000,0.0000,0.0000,0.0000,33.2071,0.0000,0.0000,20.5240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-03,1347.8769,120.0553,168.0328,213.0173,325.8374,36.9120,38.8514,69.2850,68.7078,11.5047,109.0960,0.0000,11.7848,6.2291,0.0000,105.7519,6.5436,0.0000,0.0000,0.0000,0.0000,36.8690,0.0000,0.0000,19.3990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-04,1420.2871,123.2610,172.3331,216.6934,310.2786,37.3509,39.6048,69.9329,124.7457,11.3246,119.2072,0.0000,5.0467,8.3124,0.0000,102.9404,7.8603,0.0000,0.0000,0.0000,0.0000,52.3942,0.0000,0.0000,19.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05,1547.1747,119.2470,190.5381,218.7574,312.4834,39.1276,38.0902,66.2188,229.0646,11.1237,126.0334,0.0000,6.2389,7.9442,0.0000,102.3050,10.5046,0.0000,0.0000,0.0000,0.0000,54.6857,0.0000,0.0000,14.8120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-06,1535.4264,124.7858,183.6423,226.3203,301.7362,32.2577,32.8995,65.4569,248.1512,15.7175,111.0228,0.0000,7.9271,4.8011,0.0000,103.2155,10.9127,0.0000,0.0000,0.0000,0.0000,53.7797,0.0000,0.0000,12.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-07,1326.3264,115.2406,124.6013,168.8549,254.3768,29.1669,20.7904,54.2860,238.6597,16.0526,102.9631,0.0000,6.7293,10.2083,0.0000,91.5666,10.7974,11.9330,0.0000,0.0000,0.0000,53.3753,0.0000,0.0000,16.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-08,1353.5201,121.4245,116.5144,188.3309,247.9020,32.3859,15.0421,54.6625,222.8664,16.6259,108.7306,0.0000,7.1794,9.7910,0.0000,94.5810,12.8537,27.9920,0.0000,0.0000,0.0000,58.6655,0.0000,0.0000,17.9722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-09,1662.9702,131.9951,198.6390,255.8882,309.5088,34.8849,20.5905,72.0203,220.4118,16.7791,129.4159,0.0000,8.0711,7.9855,0.0000,110.9221,25.2720,42.7564,0.0000,0.0000,0.0000,61.0664,0.0000,0.0000,16.7630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-10,1771.5104,129.0282,214.9221,243.9085,350.3771,40.9497,44.5570,70.8838,202.5054,16.3374,165.3161,0.0000,7.3244,12.1725,0.0000,117.6886,29.1404,62.9505,0.0000,0.0000,0.0000,53.6979,0.0000,0.0000,9.7506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-11,1809.0755,135.0019,218.4080,263.3104,324.5451,58.6862,29.5712,86.1175,201.7874,10.6037,188.8371,0.0000,7.6759,12.7437,0.0000,119.2450,34.1245,50.3878,0.0000,0.0000,0.0000,63.7857,0.0000,0.0000,4.2445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-12,1817.2543,137.0829,220.8683,257.2341,314.5121,86.0707,32.1021,156.4382,205.1750,10.8934,145.9121,0.0000,8.5481,11.2467,0.0000,119.0041,43.7175,0.0000,0.0000,0.0000,0.0000,68.4491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-13,2083.9440,128.5169,204.9417,234.7608,317.9527,144.6863,31.8370,478.0202,197.2399,10.6560,95.8279,0.0000,10.0475,11.7838,0.0000,109.1919,44.9029,0.0000,0.0000,0.0000,0.0000,63.5787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
